seed,condition,test_acc,macro_f1,macro_recall,train_min
42,clean,0.7837,0.6578,0.7042,57.2
42,oversample,0.8097,0.6781,0.6904,61.2
42,randaugment,0.779,0.6566,0.7119,58.5
42,physics,0.8077,0.6799,0.7082,63.1
1,clean,0.782,0.6561,0.7011,57.1
1,oversample,0.8127,0.6843,0.708,61.2
1,randaugment,0.7843,0.653,0.6972,57.2
1,physics,0.801,0.6634,0.6972,61.3
2,clean,0.78,0.6586,0.6919,57.2
2,oversample,0.799,0.672,0.6929,61.3
2,randaugment,0.7823,0.651,0.6957,57.2
2,physics,0.7927,0.6604,0.6734,61.3
42,clean_nw,0.8377,0.7055,0.6896,57.2
42,oversample_nw,0.8277,0.6865,0.6835,62.9
42,physics_nw,0.8433,0.7122,0.7004,63.1
1,clean_nw,0.838,0.7014,0.6924,58.9
1,oversample_nw,0.8217,0.6794,0.684,58.9
1,physics_nw,0.8333,0.6915,0.6804,63.0
2,clean_nw,0.8403,0.6895,0.6711,58.9
2,oversample_nw,0.8283,0.6876,0.6715,63.2
2,physics_nw,0.8353,0.6952,0.6762,63.2
